Nr,Code,Dominant,Evenness,Drought,Block,Moist,DOC,DON,NH4,NO3,InorgN,Ao1,Dg1,Lh1,Ra1,Total1,Ao2,Dg2,Lh2,Ra2,Total2,Ao3,Dg3,Lh3,Ra3,Total3,Vegevenness,SoilNmgg,SoilCmgg,Resp,NEE,Photo,CH4,N2O,X16S_ngDNA,nirS_ngDNA,nirK_ngDNA,nosZI_ngDNA,nosZII_ngDNA,AOA_ngDNA,AOB_ngDNA,Diam,RDMC,Rootbiom,SRL,RTD
1,DMD,Dactylis,Medium,1,1,32.19,47.74,7.78,0.76,1.26,2.02,1.74,8.39,0.7,3.43,14.26,20.48,11.75,0.85,1.62,34.7,8.05,29.88,0.38,0.03,38.34,0.41357578,2.8,30.5,77.54261584,-106.6039183,-184.1465341,-0.014091623,0.000993284,429700,2886,17730,33160,1112.8,1314.008621,9735.560345,0.2006,0.14790287,45.12568899,21679.81164,0.145937704
2,ALD,Anthox,Low,1,1,32.46,47.83,3.6,1.02,1.26,2.28,11.64,0.97,0.73,1.47,14.81,39.77,0.31,0.3,0.54,40.92,35.93,4.35,1.47,0,41.75,0.43933373,3.3,34.1,172.5589609,-122.3912876,-294.9502486,-0.030523825,0.001480066,446300,468,11032,23380,567.2,1084.074074,4744.814815,0.1912,0.13877551,45.79920674,21479.31868,0.162175054
3,RLD,Rumex,Low,1,1,34.2,47.36,3.71,0.69,1.12,1.81,0.33,0.38,0.18,5.33,6.22,21.04,1.97,0.25,4.23,27.49,21.88,14.54,1.31,0.59,38.32,0.625657906,3,31.9,92.62599474,-147.8565442,-240.4825389,-0.022629207,0.002565924,440700,419.8,7606,15944,1091.2,1521.132075,16006.79245,0.1826,0.171339564,37.04347604,23885.04564,0.159837257
4,LLD,Leontodon,Low,1,1,35.11,43.63,4.11,0.77,0.5,1.27,1.39,2.07,7.78,2.66,13.9,17.28,8.58,6.33,1.88,34.07,10.57,16.61,9.42,0.14,36.74,0.784476973,2.9,30.8,143.1627079,-246.6330465,-389.7957544,0.003085308,-0.005364069,406100,247.4,8460,17430,867.8,1546.176471,23006.17647,0.2093,0.119402985,37.71699379,21621.19286,0.134421507
5,HC,None,High,0,1,38.95,65.19,6.76,0.88,0.4,1.27,3.1,3.18,1.46,5.7,13.44,34.88,3.48,1.06,2.28,41.7,19.99,6.59,3.28,0.18,30.04,0.63211669,3.1,32.1,82.77373867,-209.4363857,-292.2101244,-0.001672881,-0.001737073,326800,556.4,7814,13534,643.6,669.921875,6833.59375,0.2103,0.187301587,79.47509405,11822.57907,0.243449556
6,LMC,Leontodon,Medium,0,1,38.02,56.85,4.04,1,0.65,1.65,3.02,2.63,2.24,3.31,11.2,33.53,3.51,2.16,2.52,41.72,23.58,10.63,5.29,0.14,39.64,0.685748863,3.1,33,143.4030068,-244.9140867,-388.3170935,-0.006769168,-0.001969579,398800,389.8,13050,23180,558.8,997.4137931,46120.68966,0.2027,0.148717949,39.06402928,26963.65414,0.114919754
7,RMC,Rumex,Medium,0,1,40.5,55.96,4.75,0.83,0.66,1.49,1.59,2.01,0.66,5.81,10.07,33.31,7.28,0.7,4.18,45.47,26.11,14.47,2.72,0.41,43.71,0.642258856,3.7,41.4,141.6839453,-329.4265844,-471.1105297,0.009276278,0.005382033,348300,383.4,6034,14496,519.4,903.8461538,5849.230769,0.19,0.147798742,31.65533407,28442.76213,0.123977842
8,LLC,Leontodon,Low,0,1,40.11,56.74,4.27,1.19,0.76,1.95,1.7,2.71,6.55,4.68,15.64,28.78,5.13,3.51,2.38,39.8,16.48,9.24,8.2,0.35,34.27,0.789505365,3.5,36.5,101.4456898,-123.5321339,-224.9778237,0.011581893,-0.000668893,294200,402.6,7986,16086,577.2,1014.864865,8781.418919,0.2125,0.108585859,28.96126309,25563.94465,0.11025641
9,RLC,Rumex,Low,0,1,38.95,59.9,6.69,1.72,1.81,3.53,0.34,0.46,0.24,7.41,8.45,22.18,3.7,0.23,3.8,29.91,24.05,15.1,1.56,0.71,41.42,0.632417664,3.6,37.2,126.1889676,-247.0642678,-373.2532354,-0.005499607,-0.001058048,422600,367.4,14330,28420,967.8,769.8461538,5819.076923,0.185,0.164772727,19.53201464,26567.19103,0.13996139
10,DLD,Dactylis,Low,1,1,32.28,46.59,3.95,0.66,1.07,1.73,1.05,13.08,0.34,1.08,15.55,9.66,17.9,0.29,0.86,28.71,3.35,40.55,0,0,43.9,0.389041141,2.9,31.2,212.2162027,-254.1651703,-466.3813729,-0.000364447,0.002495685,413500,489,13430,24880,656.4,1299.166667,11565.41667,0.196,0.190184049,41.75810026,20827.97629,0.159137577
