,Fieldnr,code,Dominant,Evenness,Drought,Block,Sampling,Ao,Dg,Lh,Ra,Moist,Resp,NEE,Photo,CH4,N2O,X16S_ngDNA,nirS_ngDNA,nirK_ngDNA,nosZI_ngDNA,nosZII_ngDNA,AOA_ngDNA,AOB_ngDNA
A01A,1,DMD,Dactylis,Medium,1,1,1,20.48,11.75,0.85,1.62,23.33333333,190.9090909,-427.4623787,-618.3714696,-0.003199273,-0.002085617,994500,1002.4,5570,9574,560.7353529,1734.265734,1322.307861
A01B,1,DMD,Dactylis,Medium,1,1,2,NA,NA,NA,NA,2.366666667,105.3936478,6.83865508,-98.55499275,-0.016343891,0.000929521,800500,2332,12702,13652,568.8,340.7352941,522.0588235
A01C,1,DMD,Dactylis,Medium,1,1,3,NA,NA,NA,NA,24.76666667,342.3316699,-131.3480222,-473.6796921,-0.00855846,0.001888283,1084000,698.2,11500,21180,931.2,512.8695652,1634.086957
A01D,17,ALC,Anthox,Low,0,1,4,43.45,2.19,1.19,0.11,36.13333333,79.85667539,-304.3527711,-384.2094465,-0.009362298,0.007742318,425300,455.2,12962,25800,431.4,808.4123223,2089.57346
A02A,9,RLC,Rumex,Low,0,1,1,22.18,3.7,0.23,3.8,26.06666667,265.4813025,-493.2350428,-758.7163454,-0.035289177,-0.009975571,785400,788.6,4866,7690,665.6011166,1576.425856,1210.369962
A02B,9,RLC,Rumex,Low,0,1,2,NA,NA,NA,NA,21.13333333,283.98158,-296.5893567,-580.5709367,-0.047932612,0.005655726,660100,1024,7218,8928,691,441.3391557,1122.998544
A02C,9,RLC,Rumex,Low,0,1,3,NA,NA,NA,NA,31.83333333,384.1738348,-366.7028504,-750.8766852,-0.028328356,-0.005481051,820900,1539.2,16434,24800,792.6,598.3263598,2930.125523
A02D,25,RLD,Rumex,Low,1,2,4,15.17,22.79,1.23,0.75,33.56666667,162.2847645,-55.23681567,-217.5215802,-0.019275977,0.008920364,326600,217,4730,14174,674.4,1964.611872,12567.80822
A03A,17,ALC,Anthox,Low,0,1,1,53.49,1.2,0.21,1.22,23.5,335.5237904,-528.3515602,-863.8753506,-0.021056084,-0.009743836,612700,474.2,4746,9872,626.963885,1466.832918,808.3371781
A03B,18,DLC,Dactylis,Low,0,1,2,NA,NA,NA,NA,24.1,470.442483,-541.4396522,-1011.882135,-0.048620931,-0.00260332,544400,662.2,5516,7486,588,652.5150905,2242.052314
A03C,18,DLC,Dactylis,Low,0,1,3,NA,NA,NA,NA,32.46666667,382.2028592,-496.318107,-878.5209662,-0.024822415,0.002687189,623300,2092,10880,21920,607.4,571.474359,3538.782051
A03D,33,LLD,Leontodon,Low,1,2,4,13.03,30.51,8.92,0,34.93333333,83.79027333,-126.4190103,-210.2092836,-0.052150468,-0.009136032,357000,276.4,5978,13756,764,1229.319372,8481.675393
A04A,25,RLD,Rumex,Low,1,2,1,19.53,2.99,0.3,4.93,28.93333333,166.9629336,-529.7406234,-696.703557,-0.018354112,0.00476831,911300,706,5704,8414,811.0057192,1542.882562,1402.421248
A04B,25,RLD,Rumex,Low,1,2,2,NA,NA,NA,NA,4.066666667,36.11852066,56.5649756,20.44645494,0.003699176,0.006751681,687000,582.2,5766,7162,1017.4,626.4423077,2371.634615
A04C,25,RLD,Rumex,Low,1,2,3,NA,NA,NA,NA,31.13333333,311.43214,-55.43647195,-366.868612,-0.432069588,0.012225406,777700,639.6,7274,20040,1404.6,1153.191489,10724.8227
A04D,41,DLC ,Dactylis,Low,0,3,4,9.19,27.27,1.26,0.5,37.46666667,120.8959852,-166.8671234,-287.7631087,-0.018764941,0.007768887,447000,322,12304,25880,409,496.2861073,6486.9326
A05A,33,LLD,Leontodon,Low,1,2,1,22.8,6.48,6.13,3.65,NA,NA,NA,NA,NA,NA,803700,388,3500,6430,701.3612897,1168.958333,626.5007324
A05B,33,LLD,Leontodon,Low,1,2,2,NA,NA,NA,NA,5.7,123.4341624,112.6597188,-10.77444355,NA,NA,664400,784,6702,8094,1539.4,604.4736842,1691.447368
A05C,33,LLD,Leontodon,Low,1,2,3,NA,NA,NA,NA,28.56666667,444.6459735,-35.33129043,-479.9772639,-0.021870712,0.016256887,739300,645.8,8228,17586,1273.8,671.8411552,1129.241877
A05D,49,DLD,Dactylis,Low,1,3,4,4.35,47.82,0.04,0.04,22.86666667,74.45299058,-80.58686618,-155.0398568,-0.01259164,-0.000805355,385400,649.2,9850,18822,645.4,1083.278689,3177.540984
A06A,41,DLC ,Dactylis,Low,0,3,1,17.17,14.05,0.26,2.55,24.96666667,397.7288303,-528.5895799,-926.3184102,-0.033766082,0.001299097,988400,676.4,5022,7352,833.7292224,1249.784483,1058.35016
A06B,41,DLC ,Dactylis,Low,0,3,2,NA,NA,NA,NA,24.23333333,312.6217549,-629.0382503,-941.6600052,-0.033532222,0.004119073,829300,1963.8,11752,13000,513.2,450.2173913,1146.521739
A06C,41,DLC ,Dactylis,Low,0,3,3,NA,NA,NA,NA,37.9,384.291281,-773.4627775,-1157.754058,-0.064848306,0.01349577,898600,669,19250,34780,827.4,411.5217391,3799.782609
A06D,57,DMC,Dactylis,Medium,0,4,4,17.35,23.04,1.31,0.7,35.4,108.2484934,-150.6058355,-258.8543288,0.007027332,-0.001020034,470200,125.3,6318,15858,256.8,614.8362235,2832.369942
A07A,49,DLD,Dactylis,Low,1,3,1,6.43,20.59,0.22,0.98,25.3,518.5342376,-1069.7793,-1588.313537,-0.029447885,0.015085561,683100,283.4,2448,4300,982.1017041,1257.070707,2829.875579
A07B,49,DLD,Dactylis,Low,1,3,2,NA,NA,NA,NA,4.633333333,161.9565116,-2.484812232,-164.4413238,-0.048614567,0.006224001,624400,872.8,7258,10096,1666.8,406.6037736,696.5408805
A07C,8,LLC,Leontodon,Low,0,1,4,16.48,9.24,8.2,0.35,34.06666667,101.4456898,-123.5321339,-224.9778237,0.011581893,-0.000668893,294200,402.6,7986,16086,577.2,1014.864865,8781.418919
A07D,65,AMC,Anthox,Medium,0,4,4,30.71,10.15,2.53,0.41,36.16666667,10.00013234,-56.41479464,-66.41492698,-0.022398493,-0.005364955,524800,525,22720,35860,477.4,592.3774955,2835.3902
A08A,57,DMC,Dactylis,Medium,0,4,1,27.48,14.49,0.32,2.78,24.63333333,337.6140161,-320.7116536,-658.3256697,-0.009719202,-0.010689207,517300,206,1790.8,3978,483.2696634,1793.453725,1546.275395
A08B,57,DMC,Dactylis,Medium,0,4,2,NA,NA,NA,NA,19.7,506.1733319,-450.6727652,-956.8460971,-0.025670065,-0.017805807,681200,675.4,8490,8362,418.4,257.7299413,713.5029354
A08C,16,AMC,Anthox,Medium,0,1,4,33.54,8.55,2.47,0.3,34.73333333,144.7708623,-316.4008589,-461.1717211,-0.016234972,-0.001829596,360400,451.4,12938,27600,601.8,413.877551,4668.367347
A09B,65,AMC,Anthox,Medium,0,4,2,NA,NA,NA,NA,18.73333333,371.1516167,-20.8720057,-392.0236224,-0.028275616,-0.008158031,700000,1293.2,9408,12568,400,338.6727689,1117.84897
A09C,49,DLD,Dactylis,Low,1,3,3,NA,NA,NA,NA,28.9,514.5263003,-128.7739361,-643.3002364,0.014932045,0.016987716,699300,691.8,5920,13974,710,1144.08284,4247.928994
A10C,57,DMC,Dactylis,Medium,0,4,3,NA,NA,NA,NA,36.36666667,400.6300085,-438.1112404,-838.7412489,-0.038703013,-0.007595537,842000,415.8,8188,18902,365.6,351.3761468,2680.733945
A11C,65,AMC,Anthox,Medium,0,4,3,NA,NA,NA,NA,32.3,400.0133015,-117.7983114,-517.8116129,-0.043078084,-0.001229983,1146800,482,21020,33900,612.4,424.1935484,1879.032258
B01A,2,ALD,Anthox,Low,1,1,1,39.77,0.31,0.3,0.54,23.13333333,160.9090909,-448.4813229,-609.3904138,-0.064967205,-0.001897087,814500,712.4,4674,11766,412.1159991,1291.506849,2582.252156
B01B,2,ALD,Anthox,Low,1,1,2,NA,NA,NA,NA,2.5,174.0179947,23.93529278,-150.0827019,0.002160276,-0.004507619,517600,775.4,7296,8266,956.6,551.6546763,3244.604317
B01C,2,ALD,Anthox,Low,1,1,3,NA,NA,NA,NA,27.2,376.0111729,-126.3704507,-502.3816236,-0.260028147,-0.004397674,687500,789.2,8540,19784,734.6,829.0960452,2315.960452
B01D,18,DLC,Dactylis,Low,0,1,4,9.17,30.66,1.29,0.08,34.9,108.37164,-244.5010466,-352.8726866,0.005564181,-0.002322474,403600,636.6,13796,27020,313.4,1166.169154,18763.51575
B02A,10,DLD,Dactylis,Low,1,1,1,9.66,17.9,0.29,0.86,23.73333333,194.8795723,-462.310167,-657.1897393,-0.044837004,0.011485167,638200,329,2270,5452,661.4194411,1235.698448,1064.015652
B02B,10,DLD,Dactylis,Low,1,1,2,NA,NA,NA,NA,2.7,46.76791835,32.91102757,-13.85689078,-0.03193262,-0.006963802,556600,1163.2,8266,9162,967.6,548.9964581,2351.357733
B02C,10,DLD,Dactylis,Low,1,1,3,NA,NA,NA,NA,28.83333333,375.1346743,-106.7691591,-481.9038334,-0.02215907,0.016540035,1034400,457.6,20440,42360,662.2,1026.680244,3750.916497
B02D,26,ALD,Anthox,Low,1,2,4,32,9.36,1.15,0.13,29.63333333,107.8938328,-48.50341453,-156.3972473,-0.007464315,0.006307368,437400,278.8,7352,22120,307.6,1409.558824,16940.44118
