"","taxonomy"
"OTU20013","k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__"
"OTU20012","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
"OTU20011","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina; s__aquimarina"
"OTU20010","k__Bacteria"
"OTU20017","k__Bacteria; p__TM7; c__SC3; o__; f__; g__; s__"
"OTU20016","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__"
"OTU20015","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__"
"OTU20014","k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__"
"OTU20019","k__Bacteria; p__WS2; c__SHA-109; o__; f__; g__; s__"
"OTU20018","k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolinaceae; g__; s__"
"OTU6241","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"OTU11215","k__Bacteria; p__Chlorobi; c__BSV26; o__PK329; f__; g__; s__"
"OTU19536","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
"OTU13178","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__"
"OTU11742","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"OTU13176","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Catellatospora; s__"
"OTU13177","k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__"
"OTU13174","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Candidatus Rhodoluna; s__"
"OTU13175","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__"
"OTU13172","k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__"
