,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S140,S141,S142,S143,S144,S145,S146,S147,S148,S149
0,95004,112777,105532,89081,100373,105048,95693,98168,90140,101802,96712,96377,98170,105774,109172,94899,98722,114511,105113,81227,106627,96392,122191,92959,104347,95513,100467,99149,96981,101112,100732,88301,94968,114169,93992,104752,98181,94113,87616,84458,92815,82960,107884,77243,98004,107829,108836,87699,107742,100704,103230,111804,105051,88329,101632,101673,101338,115741,101101,105555,91025,98420,93992,103940,106237,99055,86898,118101,127241,102559,100307,87095,87768,108176,95958,113905,83113,118930,99303,93384,116025,118700,114860,96953,95999,108026,95953,96142,109220,101823,90298,102432,87632,106986,85177,114464,93850,83259,88895,118551,115743,98122,106952,101477,98610,106015,98013,110276,100855,92887,109554,115618,107517,95616,109516,90380,75731,101559,96099,97128,99793,101783,98445,99275,111520,114415,108129,104351,109792,113773,104099,88598,111314,95078,97529,109897,105998,99774,101571,112351,88791,112735,89972,96206,109349,94129,100559,106324,96632,115034
1,92516,106873,97463,100554,102994,89624,84125,108774,97820,87746,73781,88281,91459,98777,105139,82647,97291,101978,109268,84829,109612,96299,96557,92956,90114,95520,98167,109411,101096,108542,106095,98878,88458,101634,88830,107752,106833,124276,90141,97560,96966,86616,95572,104761,87179,100457,104933,110547,113242,112147,108065,88977,93844,93345,99580,118819,92175,109132,100168,91463,114042,110027,96645,115376,109309,71017,94090,83318,98823,93730,105149,107409,103696,81137,106331,117788,101846,108170,97984,89631,92981,92782,99327,90829,83869,109377,101039,105952,102732,110881,94488,112259,95782,79525,100062,92142,99486,111313,113553,94794,120026,103144,87949,111806,108748,118369,84477,90632,133918,114615,94963,104502,106630,85612,102208,116659,110441,115088,85606,94796,94153,114950,92898,96818,116303,107421,112905,110264,108732,104898,88483,111030,86778,102444,105519,117162,100612,106520,106236,74980,107433,116547,100296,93313,109993,99165,116940,107977,98242,103018
2,97658,94814,107186,110367,94575,98905,85135,103023,87430,95091,121313,110674,98826,104807,99700,91441,98642,109146,99146,100413,94604,102428,99460,80761,89591,92159,101829,86713,104850,105720,102915,100554,103880,104985,107584,102843,88737,120624,92418,101599,86346,100122,96364,112247,104514,100137,89161,104318,94480,102736,98484,98543,85221,103097,102266,99201,86437,124921,92788,89690,100899,120789,91971,110071,83310,102913,97143,98026,86280,110215,97167,96498,104430,103405,90682,104478,83600,99433,94302,107645,115921,111026,85033,109719,88676,105539,92460,106864,71680,102697,94870,116713,90257,84037,102503,104769,113805,108310,92025,105550,114828,103147,114700,103078,94311,104141,101291,123292,101373,83272,88223,110506,102264,105769,115888,93448,107678,105659,111774,99077,90036,88288,97442,91851,100584,86444,112272,107670,113362,105584,121860,103211,106806,90944,103291,104224,87825,100252,104473,91126,99487,105443,121175,108149,90122,100241,87391,114350,130828,119566
3,101385,98278,86350,114364,85271,110721,112030,70489,97001,73940,85079,107346,102462,92424,115926,109691,92519,99639,109463,95712,110753,103801,83759,99191,108101,105120,109069,90409,90223,94426,96419,93162,103345,109745,88678,84014,120274,97531,105793,110831,106288,103763,96325,109359,90232,101239,105751,90587,94570,101975,104860,100335,117583,124608,112859,102764,117747,102370,109862,110374,103823,117376,89024,112950,90121,91593,94803,98465,100963,100311,95002,91498,86447,120264,119938,107062,102227,100291,103086,90524,102658,104346,110192,98007,109963,100874,88323,95134,92621,97990,100682,117299,98205,92213,86526,82432,112064,97081,99922,98058,107700,110940,96159,114403,105143,109312,101373,93130,100279,99830,106367,119189,100007,88046,84961,84128,109061,100754,110159,111621,100460,102842,100108,85676,102785,105095,100078,114931,96650,93160,95337,93863,91976,84085,91331,111067,90527,89665,105339,106007,104490,95991,112299,116702,101070,113469,102041,111793,88559,82189
4,87833,106472,98947,104500,94983,88937,84374,101176,104277,114335,101299,114572,99100,98482,114204,104395,84780,97453,106630,98375,114499,111631,92903,77540,116661,108621,101724,102210,85547,99955,93230,94935,109392,101025,106425,79170,81901,103988,113986,100784,92420,96954,97486,94889,99785,111390,80981,102440,109341,86249,96007,89464,113559,90686,103552,92015,91098,111109,92229,103019,87665,106639,91322,104963,99100,90966,115599,94185,96948,110564,94145,89991,104256,94751,94260,96525,83288,112101,104149,96349,108809,95047,94125,84053,107867,101624,123528,86855,99463,96481,102334,95525,90643,123896,97048,105169,109042,88075,93220,116991,108341,103291,86955,79733,98580,107119,100091,109290,106097,90154,97988,109520,84800,89082,93150,101840,112367,108574,107046,97618,101975,96320,105450,101495,107706,89052,92411,99767,94063,105451,90157,100393,110754,93747,98635,92108,96172,105313,99969,110228,111010,84243,92328,108437,97136,116915,91404,106912,95183,118625
5,102899,112484,91718,95253,93854,107955,87807,90463,107216,107776,87599,90525,88130,108543,105777,96518,102572,117310,76075,84242,109237,118632,108289,99232,95676,92564,89316,110402,79732,93952,108172,106989,97995,102046,101921,87806,100532,101272,107049,93092,87924,80673,100954,88726,97702,110176,127235,88669,103676,88461,109207,93820,98737,99731,106135,92385,100330,91154,101129,95865,83274,101281,95618,92367,113117,106403,93212,101573,91506,102732,107534,103011,83710,91137,85870,106320,103441,109370,104901,117010,98911,107974,94261,95296,96035,112679,106512,90736,112113,97076,97185,101036,103010,95656,89676,97528,95729,111197,107528,97003,107733,84460,88027,105381,103448,98430,103157,95540,106198,110586,85519,112171,101482,100674,108476,96896,103106,100919,103600,104892,85042,87760,104025,85906,109019,93106,113516,100818,93059,83304,124666,115762,90395,109717,100206,98714,102807,101064,126708,82657,110124,95562,91963,93639,82038,92844,88987,116576,122956,93438
6,102464,95406,93156,113715,93192,103701,90798,92427,111153,98532,111334,95880,102846,110026,89582,106304,102036,93852,91408,97531,92040,102822,102141,94534,98599,117422,89367,87896,93301,102590,108550,90347,119543,103169,95818,91345,98455,108343,111565,96990,87013,106286,96591,97071,103652,91874,92268,103459,92020,101515,97782,121806,98202,116196,116287,87188,84459,101227,93272,87737,108297,104872,99387,111665,100687,114628,114191,110468,104096,93183,100881,99346,102128,107458,101923,105107,113371,102527,107088,92589,117453,96075,117126,95406,115399,95850,92388,113273,108524,93784,110389,92148,104675,103654,86267,90585,94497,97193,94605,100077,91569,99361,89662,91896,106317,112788,96111,94651,108656,79931,95499,101990,94780,98198,105703,116961,108354,91844,103910,95632,124319,125106,101542,107898,122007,99038,104800,102425,94220,114696,102251,82958,88910,93127,81730,96461,104824,83995,104323,89730,104508,121977,88670,91503,110481,100385,113902,98179,101850,100278
7,95979,88356,91553,85721,86234,101183,90093,94487,88244,97128,107860,83970,80586,105694,93750,107335,107228,90197,109379,94994,108184,83599,101843,112478,87478,94976,107969,102537,105441,102582,109953,98282,104108,106241,95085,101705,90690,120285,93641,99412,120830,94773,113023,87561,103370,98954,108194,101319,99322,97342,97177,90168,90995,104772,91788,92939,126252,97867,115701,108292,109591,96022,114190,84941,80702,97593,97369,95278,103036,103056,99367,99773,88745,92100,108198,88328,89384,89015,84508,91788,98528,93917,102073,76721,97575,100964,99954,116755,106420,97755,104523,93251,102562,98084,90615,97130,93636,110107,87047,96618,107383,99478,97814,101185,103385,99016,90081,89641,97372,106928,101120,100726,96021,107304,90072,110252,76271,101393,98360,112795,107709,100740,96133,94014,93652,92966,123360,76050,116341,109504,93794,98594,98938,80944,103880,87968,82403,101194,117295,90370,99198,81848,106385,91222,87832,100805,96888,94549,97944,100910
8,108867,101987,113265,95226,87459,116077,107934,105980,101699,93753,96675,96972,104309,98784,87722,100907,111194,101115,95205,76375,104963,101471,76173,101902,104911,98117,119808,106666,76899,89025,93600,104154,98625,86386,92763,102372,104237,113431,95359,113735,114708,113050,105013,104799,99131,102856,93897,94831,90907,101881,82084,108301,107854,99139,93357,111381,94908,109011,101930,100022,92885,114334,81802,104592,100307,87996,81054,104301,115245,104559,99876,100498,104244,106785,102131,94664,94800,98434,104963,106056,120765,98085,115610,117028,109679,94042,74524,92960,94861,114332,90107,110401,96055,94684,106482,91157,95329,98976,94991,104072,94886,94898,85798,95897,113250,116101,97926,106031,93781,107916,97030,107645,102983,93877,96124,92072,91694,107486,99498,106681,104458,84975,85023,104251,82134,96229,110924,105868,82827,105061,102768,98178,95399,105334,117630,104237,106050,105511,81789,99033,103402,96340,90875,120538,91165,103955,96826,93865,113484,112749
9,82758,88018,110581,95073,100797,117488,111924,92727,115957,104526,120669,113709,87636,111985,108071,79800,98550,82485,85971,96250,90478,102826,101220,96694,99591,106413,79968,94300,105933,115100,85372,109154,111773,110839,87810,84954,104186,109717,78744,92815,107831,105766,98030,113823,101706,97535,99533,98801,100996,99326,103760,92451,94116,108319,106888,114704,98770,112320,106770,111417,108415,106909,98838,97484,118107,71820,109114,113312,102801,120848,88622,103785,85822,84652,101075,103645,100068,114097,111285,103211,90592,90986,108597,95777,79565,98828,109118,78565,92031,104296,109415,100610,87146,98875,92023,103595,108404,103886,99068,92252,100481,102101,95614,93744,104782,121455,98806,106804,87043,96232,108404,94724,103567,107176,93344,101650,102962,77539,89649,80837,103644,108839,92890,98533,101767,97171,93024,105917,99533,112625,103368,89634,101589,109809,111574,114171,95563,119532,97211,118727,109947,93955,94326,100775,99479,96166,95478,106445,113534,90030
