,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S140,S141,S142,S143,S144,S145,S146,S147,S148,S149
0,2,345,401,117,65,0,1,0,4,2,0,0,0,0,10,0,1,38,11,47,1,0,0,4402,44,89895,0,0,1,0,3,0,146,25,1,70,32,305,6,0,0,14,0,0,1530,0,111,1,0,0,0,0,0,0,2,0,3,235,2,64,0,851,0,90,0,1,0,0,0,0,1277,0,0,0,0,125,870,0,0,0,7,27,138,0,1094,233,14,0,0,2,19,3,2,1329,1,24,2,0,2,2350,0,0,0,468,1,0,7,22,265,628,10,0,0,0,0,8,18,11,30,30,1,1,1,10,0,24,0,17,1,0,0,62,6,0,0,36,0,0,873,76,14785,30,0,1,0,2,0,2,0,0
1,0,18,0,0,0,16,36157,3478,3,128,13,0,18,1,110,0,5,1,25,3,0,620,36,0,4,0,17,202,40939,7,0,158,0,16,0,0,0,0,2934,0,34,0,0,8,3995,0,45,2,0,69,34,536,2,58,11,0,7,0,1,425,1,663,0,0,0,1,119,5,0,0,38,88749,0,1,6,0,61,0,51,0,189,855,31742,0,0,0,0,0,0,1,248,0,1,0,0,32,214,6,0,1,0,23,1662,124,2027,4,0,0,4,106,6,24,0,0,0,227,148,0,15,0,6,0,0,5,14,197,0,0,388,0,0,1250,6,47665,1,588,16,1,0,0,22,2,61957,1,0,0,0,280,7,247
2,17,23749,248,0,26007,4,0,6573,272,0,0,21,62,106945,231,147,11,21,1,0,14,64,8,17,21,0,0,5700,0,1,0,0,46,18,6,18,128,3,0,1647,29,1,4006,0,0,4,0,48,0,0,62,5,7,342,0,0,0,1,6,14,2,0,46846,2,0,18548,1,1568,55541,1,1,1012,78,424,0,2,5222,1,0,72,7,4,0,2,0,0,51,10,0,2602,25,27,16,0,9,1,60,3,0,15,0,43,33,3722,531,2,2196,222,0,4704,26,1,2,0,5,0,0,0,4,126,16,0,0,282,120,0,60,228,0,0,51,147,0,936,37518,3,8,0,3,26,23,0,5,226,2,16,132,0,1,1
3,579,23,40,169,10,57,103,65,8618,2294,595,21,974,0,95,28,0,4547,49,591,60,31,1,0,82,167,9,17,318,0,0,0,16,121,14,759,2,37,2,690,214,15,0,94,148,17,0,0,152,0,426,80,20,5,32,3,29066,35,31,0,4127,5,14,0,108,943,12,124,45,0,17,79,81031,12024,1034,36362,87,2995,11,1,0,0,0,427,92,64,0,36,0,1962,11,0,29,1,7,690,24,752,0,3814,1,89,26,39,953,1,1459,262,78,55,2,300,6455,35,0,2,1206,0,3966,5,2,0,16,1403,682,9,0,119,192,10,285,0,30,18,6,2884,387,250,38,101,4,23,5,11,0,10,12,81,0,32773
4,0,502,130,3,85,1574,6,4,29146,2,72,25,45,0,17,818,2,3,0,2792,137,0,9,96,38,0,388,2474,132,11,73854,893,1,4,1153,1,8,73,0,3,0,953,37,0,1,1,1,8,390,0,7,146,0,110,2,57,20,49,47,742,0,1,0,10,0,125,3668,0,0,0,0,95,3,67,4,0,12,233,2162,0,1,53,0,0,15,2,4603,0,9,10,1030,75,38,0,160,111,0,2592,0,3,120,31,2,102,255,13,281,1167,8,5,850,8,19,217,0,2,827,0,3672,4,1,0,27131,1,93,115,7,105,410,113,186,9,5035,1,1672,182,3,840,27,42802,54,2949,71,39,39,107,672,35756,2,3
5,23,29,304,162,0,21105,107,30,0,82,3013,17,37,2,266,2,7,10,34,5556,0,49,239,1,451,2,7,4,21,1,76,2,8,6,3,39890,55,1,182,2,1734,436,0,3,2,20,0,253,11,5,4,2,49,261,918,307,7,34,1,3330,43,12,1404,3,3,3,1,681,2,1,2592,0,120,1170,881,0,4899,5,1,0,3,0,14,1,2,0,3969,23,95,5,105,245,1,192,6,48,14,66,27,10,0,14,4,21,1531,7,2,1,5468,19,7,114,126,596,0,1,3,9,0,1,5,0,959,8,2,11,18,147,50,49,0,0,17,15,496,51,2,8,531,17,0,437,17,15,21,10,2246,0,12,19
6,0,9,0,1,0,0,14,2,6,0,34,1,0,0,0,0,0,1,0,0,0,3,0,46,128,7,0,0,0,5,5,0,0,4,1197,65,0,2,1,13,3,1,0,0,0,0,3,2,0,2,0,0,341,0,0,0,0,0,3,0,0,1,0,0,7,88,5,7,0,0,0,0,3379,140,0,0,0,0,2,0,9,0,0,4,105,0,0,3,0,568,876,3,0,0,1,0,1024,0,0,3,0,151,1,61,1,0,1196,483,0,256,0,0,0,32,0,0,0,0,3,0,0,0,0,1,3910,2,0,0,0,0,0,28,0,0,2,0,0,0,0,85,5,80,133,34,60,0,0,0,40,124
7,126,12,23,4504,165,144,146,54,16,14,112,19,30,1,29,0,6,49,33,60,21,47,9,166,131,462,47,47,9,237,37,10,3,47,66,13,182,20,0,17,14,30,14,11,25,6,20,8,32,15,8,43,102,94,311,22,52,21,11,11,92,26,26,19,11,131,1,292,7,16,87,6,98,87,0,2,145,460,27,4,74,5,1,43,183,27,50,2,4,14,542,75,3,35,3,108,35,128,84,74,2,180,68,14,76,346,2,13,6,253,14,7,7,10,1,0,48,8,117,17,5,3,9,5,5,16,621,16,1130,10,510,13,0,245,235,5,8,12,48,9,28,89,10,69,11,6,920,0,16,110
8,487,0,127,103,5,140,0,36,19,1,138,0,1236,2,4812,1,1,897,376,12,31,36,6893,266,0,0,650,0,0,18,0,4,2,28999,30,0,0,9,0,32,19,13,55,0,0,1,8,495,1,2,39,17,872,0,23,5,0,0,0,21,124,46,26985,89,0,10,0,1,51,0,28,0,7,10,0,139,729,1,2,0,63,1,0,10,4,0,105,2555,322,1,9,1,11,14894,90,47,39,5,3,0,0,6,650,58,45,0,4,45,268,40,3,0,4,49,0,0,147,0,2,0,92727,0,2,8,5,0,2731,1658,12,29,0,0,0,146,16,323,61,0,12705,3,3,136,0,8,312,49,1,0,0,5
9,2,3,230,2246,144,979,46,17,5,218,2,17,303,4,0,0,11,5,2,441,120,93,75,1,113,179,385,6,0,4,0,1,6,0,6,4,9,116,2,82,26,2,11,329,56,40,28,105,5,51,15,4,20,9,4,12,72,25,7,1,105,3753,55,0,11,4719,0,4,7,0,32,0,91,753,71,0,75,1,2,1,4,14,1,33,1,0,25,19,123,13,216,8,15,1,1,10,5,39,2546,1215,1,536,35,5,1933,19,3,5,0,1,0,3,589,209,17,0,10,6,48,73,3,0,15,0,2,479,26,6,78,0,127,4,1,0,23,211,87,14,4,2,127,1,4,71,56,201,1,10,1,172
