,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S140,S141,S142,S143,S144,S145,S146,S147,S148,S149,S150,S151,S152,S153,S154,S155,S156,S157,S158,S159,S160,S161,S162,S163,S164,S165,S166,S167,S168,S169,S170,S171,S172,S173,S174,S175,S176,S177,S178,S179,S180,S181,S182,S183,S184,S185,S186,S187,S188,S189,S190,S191,S192,S193,S194,S195,S196,S197,S198,S199,S200,S201,S202,S203,S204,S205,S206,S207,S208,S209,S210,S211,S212,S213,S214,S215,S216,S217,S218,S219,S220,S221,S222,S223,S224,S225,S226,S227,S228,S229,S230,S231,S232,S233,S234,S235,S236,S237,S238,S239,S240,S241,S242,S243,S244,S245,S246,S247,S248,S249,S250,S251,S252,S253,S254,S255,S256,S257,S258,S259,S260,S261,S262,S263,S264,S265,S266,S267,S268,S269,S270,S271,S272,S273,S274,S275,S276,S277,S278,S279,S280,S281,S282,S283,S284,S285,S286,S287,S288,S289,S290,S291,S292,S293,S294,S295,S296,S297,S298,S299
0,90047,100717,103486,118026,128742,106618,103846,93718,91490,85794,113192,90085,95554,112415,99269,120191,103879,97151,103463,129615,95274,82646,94250,110362,98430,103981,116096,82032,95537,112659,106459,99165,90540,94146,98694,87846,91178,114774,89782,74763,93290,114259,124167,99128,100285,97671,97859,112661,95664,95929,115876,102243,111628,112566,101390,86697,94110,111042,115706,112813,89997,109339,109925,89208,95584,93035,107671,100975,95900,104563,112719,101054,104425,92823,110481,93571,94070,102097,105925,108442,120959,96435,84188,96506,80876,123196,109868,108220,90800,100762,84213,104807,96412,97326,97284,97898,86550,85920,105213,90233,119041,95247,98980,87045,110761,116448,93992,102697,94017,92935,107057,84551,95327,85069,108650,104925,77646,88117,92746,105538,84147,103247,108327,122359,108645,95024,90964,85610,92583,95728,102544,80372,104310,96445,98249,108147,111030,84848,89580,109684,119974,93045,105467,100725,82284,107317,113115,74201,85182,105522,102365,95069,102524,95532,96595,101676,81919,90026,89584,105751,94240,104178,95862,91340,93199,104426,105289,103764,105301,104330,107091,96919,96086,96393,81483,108656,89969,104887,106299,96443,110804,107082,119179,81352,74634,101019,100707,102777,99666,99310,100658,120269,112940,80931,99947,99572,105159,103185,81543,88848,121509,88746,97523,87646,98325,114145,100836,94599,80412,106701,102161,113520,81299,99704,111908,81634,106617,92836,99024,101026,107558,93625,101193,111897,87661,97920,101762,116369,105101,96698,88018,100716,89462,87752,84843,91674,91672,99074,107919,94904,95584,108545,104820,89440,74781,96069,114478,107127,103403,103009,95309,100259,98496,98659,114098,104681,93162,89065,105174,101480,128474,85394,99119,105757,95725,108511,104821,80434,98971,93558,91073,99264,101755,98202,100789,100096,103206,109561,105914,92136,95524,105724,91358,102592,93594,97031,96174,98216,97089,115589,105286,82867,112270,121025,109705,114107,96097,93880,102551,110747
1,110992,107771,118779,112537,93624,101072,108647,93386,93967,99599,105811,101404,98205,106455,100063,91816,103441,97339,91713,107453,106589,101157,82284,119648,109158,84672,102769,81133,98442,103411,106008,100143,98031,93578,96678,93895,89023,96305,124925,97335,85533,111100,98021,91363,78120,98960,92784,109550,101936,107213,99456,88682,90080,106482,101213,96337,89325,114118,103066,103462,94782,97323,84067,90976,105299,84740,105505,88112,105033,96026,98502,88138,111561,110990,85974,86158,91369,109488,110596,89614,80905,86398,83626,97973,99899,89431,102114,97348,92918,103115,103932,90835,109383,99294,113054,111895,110259,81085,93160,113769,83059,109015,102022,99233,115359,104856,99921,105102,121526,78333,97619,104448,97820,96732,117425,85418,106513,115838,111300,96813,105917,105570,105558,102091,103032,107959,100855,82764,95082,98264,108676,95638,112789,88246,88060,106239,85019,117913,97905,96148,127281,108364,111392,93310,106869,104201,95013,93063,100594,91025,90542,81256,106515,106879,93849,94578,107338,110997,107245,115637,116367,97856,90039,90999,103086,107797,106969,110511,81082,104675,101712,102651,103207,106003,98568,103867,106837,77371,93392,96924,97496,94802,102429,100257,112957,98670,102329,82946,85283,104753,82952,100248,99120,105213,97560,117030,124627,97486,93160,99223,112365,96526,93705,86840,112691,114559,119508,107315,101429,109319,106854,97405,98023,100871,97919,101750,94639,104098,95242,97009,102587,104946,103040,99345,101403,117304,102939,88949,109547,92504,100554,115771,95931,90750,104583,100196,105110,113299,100711,103759,95794,108098,95237,112566,107215,96517,105076,92603,110161,105665,111627,101717,114515,86519,114114,87987,102736,109452,99411,104290,101309,99875,100106,110588,110322,118497,102799,81243,108538,94008,132684,102346,77427,107693,108764,93966,100628,82061,105556,128177,111405,120279,105411,102932,96732,102874,90999,103029,106279,101165,88746,100438,105720,91458,107175,100107,95050,90717,92086,102175
2,103646,90472,83111,93030,104735,89980,101609,107514,96737,103573,100516,87376,96261,88692,114095,87078,97637,108659,99805,110853,98559,75821,128732,100434,86803,100450,104563,108147,108776,79987,98803,112743,91378,96329,95203,100950,87329,92868,96399,108558,95609,99356,90703,106658,82776,108026,92970,88721,113560,103864,112877,92655,108885,81479,91400,96753,115955,109916,99537,119759,101676,94628,115515,118768,102564,102285,87834,93293,102971,91396,94079,131119,104122,99695,103057,104057,115001,87983,80502,95953,120160,99758,91515,110260,95638,112749,100225,95060,111455,111864,84099,90618,110598,104485,103349,100351,112737,92830,113569,107724,110655,95452,110101,97253,96031,89781,96883,100106,85189,100883,105206,118924,99091,98635,91002,120452,112038,103415,111722,118137,110918,128358,112884,110604,111574,104553,97963,100945,97476,94962,86073,91529,107212,114702,89756,93732,83063,96575,98848,101386,87683,81714,113504,90988,108813,107191,100004,99017,81103,78024,78871,102421,92545,94238,110154,92452,101600,97560,104631,115887,88369,102049,93707,103899,101201,115911,106280,99377,94591,110229,89726,101227,105928,95042,108838,86548,106554,104055,102861,113706,94169,118746,96999,94681,86722,109644,94866,106734,100855,79093,93935,96434,114859,112937,110839,91976,99426,102188,108953,106215,81005,92389,89200,111779,104983,85920,122032,98770,94224,92085,80824,102028,101707,88277,104992,74112,104173,102786,109688,133182,123284,90669,90052,88597,105651,87540,108603,96268,109056,105880,102232,97839,110795,98079,102764,104463,106245,106321,105003,107362,108105,79790,93062,103635,115156,93918,90729,93087,103671,90417,104660,117059,105161,94871,91272,106239,96205,104227,112506,97092,82850,97639,89114,98674,118353,94825,81017,101447,91389,121791,101653,110654,88279,108672,93204,106848,88519,62345,86903,96790,121851,107041,99978,100031,108297,96694,84989,98744,102218,94405,108094,110497,94310,101442,110820,94777,112893,108747,90575,100905
3,106464,118569,98490,110302,91227,90969,92406,113103,99241,112951,93767,109705,89504,101948,96966,118963,87452,116670,104092,104553,117130,114427,68887,101661,92494,95491,84059,86411,79175,96291,117544,102286,94113,97974,99453,88290,89665,110258,95149,101771,94351,107359,106177,102580,88606,111740,96441,102136,119513,96840,77758,100458,109163,91699,91102,104499,107765,103637,96453,99876,94337,103983,87768,102107,95363,111740,108760,102689,110720,106819,81301,90269,118132,105446,107680,101294,112574,100945,102878,101534,117418,102926,117963,114826,95276,88847,102304,105084,81728,95565,113342,86262,111897,90254,105474,99289,94494,109965,95025,104120,101205,100096,100209,100600,114515,102177,93450,97669,85574,97519,92018,113560,110909,118152,86627,100577,97492,95689,82259,114137,98935,102312,87493,74094,87847,103694,83134,92123,94528,111584,114351,102880,114578,111787,93033,88781,101814,107839,103505,110723,96526,102163,97079,95798,86832,97346,93020,104155,105101,118556,99159,93716,102830,84086,97537,116701,103166,97975,84577,98337,106666,113227,103090,104729,100313,96083,103794,87789,94496,100383,88622,100490,112132,100450,102581,102796,109372,89953,89148,124260,94062,100166,104657,108013,108656,101257,82843,97835,92099,82421,87234,102687,105247,91295,88342,97798,109447,122889,100200,103608,94222,104136,95889,109471,109759,114049,88149,100803,96494,106037,91590,101635,97929,115190,106366,115708,113211,124309,110490,106456,102904,95761,100544,88759,90973,106118,116371,99083,95171,105904,89639,104480,96524,112815,78335,106373,127301,96723,78355,93181,89049,92408,89498,99552,99682,106085,103077,103831,103371,93039,109325,78891,99247,106085,101575,98234,114495,91259,94249,97020,99885,96385,86586,88552,93190,102960,103979,116859,89376,113975,95280,122899,104879,113737,90865,93945,109779,98977,89864,112869,105152,104178,103081,96615,104103,108260,90820,96450,100079,102202,104974,73641,119263,96311,87756,110098,104618,89604,88991,107412
4,107378,107260,94345,93679,113914,94280,102982,89464,110408,106406,93271,103651,98548,96691,113264,99332,112613,97169,94385,101353,92901,90935,99976,92935,115415,112745,81536,104035,106465,104132,90786,100493,121030,110443,107154,107738,95812,111944,106390,92755,111323,89106,102822,98650,92414,101184,114329,85725,111468,98457,108922,104615,92161,104880,97519,99778,84951,100956,90540,95898,105447,90796,112495,107872,90039,103680,107836,94266,111030,98393,105596,83969,109345,94446,126864,92567,106721,101400,105718,93855,98942,96551,116095,109544,93740,95921,111370,96479,114522,109854,109634,127419,91278,86354,101861,92601,96049,96370,74475,87226,91053,110961,100944,105670,102097,99099,105396,115346,109922,113732,112163,100133,100760,115892,109806,110355,87776,98527,89038,84593,107697,101982,102462,90494,108036,107662,91339,95769,101729,100303,105613,97770,104391,92447,86749,100194,93904,97167,103842,112124,97496,99014,103838,91485,104363,75650,95680,102056,98487,97854,107516,105414,103839,99174,109344,108240,96362,112161,83805,103975,105513,107561,86447,102716,102385,112838,106212,105730,96638,98552,102536,99160,101070,91042,101546,103320,108899,84957,101019,94403,101819,101750,93277,81670,99904,119158,99771,126210,108090,84616,113773,88086,87736,99921,103491,106498,85016,102199,103003,113167,106329,112542,87174,79644,128473,101725,98299,109745,79820,112812,75949,105866,100300,95551,89340,93552,86806,104066,119978,95102,106234,98000,91701,95132,107833,103881,101229,99771,102478,106154,108836,98527,89953,99197,106924,101659,108888,97247,102039,105247,99443,101926,95095,79285,104000,107641,89441,104509,101735,101437,88984,96721,103292,105454,106871,88994,88381,104840,86785,91614,102258,103642,84977,98429,116899,120004,102000,105547,93010,104478,94565,105244,91536,105859,75484,96585,109398,88144,79907,104246,103286,94418,107937,98116,93820,105318,103125,96165,114315,93766,113974,110012,90020,81873,85270,113995,88669,103197,87642,87688
5,108407,88460,92002,91099,94571,108507,90744,95768,92555,94577,108515,109532,99728,96303,101089,98163,101263,102115,108326,95452,94714,106124,111294,82035,106686,78685,99215,103015,114675,83641,103759,87658,107265,90855,94935,82697,95162,97205,92708,96459,95509,112942,117822,83636,113462,115328,83275,114503,90203,92811,93280,95578,94344,115326,95052,103930,111872,101681,93173,93904,80254,103692,94447,108119,98946,84882,100372,86228,108638,109058,100911,97182,107333,89561,81509,118903,130142,100231,110929,90166,101915,89408,95345,112426,102460,97027,95079,106969,107399,90285,105399,107301,105992,99833,93183,104519,106157,77533,107663,114424,94124,105061,103193,95355,103121,98372,95134,110169,97516,83683,95466,108685,106403,107886,113123,100064,99887,109082,99660,117077,107142,95795,94591,104548,94800,81416,101556,113438,96334,93143,114747,96902,110500,96448,104844,94362,106820,89527,96953,90144,106715,114822,105697,101041,99907,102928,66880,104577,101668,81924,95588,123343,84122,103119,86563,101108,92024,111377,95315,103989,103018,116709,108141,115396,93085,83525,89949,97241,106957,72669,116652,118070,114569,99400,115625,104637,94372,92815,73891,103683,98993,97170,99984,99642,97804,90910,109244,98720,86367,107134,109465,96657,78152,89825,104396,92710,88905,108430,105661,91291,101803,98184,122691,113140,101092,89316,103083,111418,108122,95532,106524,106511,77209,72228,99062,77990,102739,111858,90694,94817,91195,102724,102366,96613,91435,102614,97481,94342,92915,111506,99801,86824,90392,111826,80818,95633,98637,104883,98721,106099,96066,92864,106476,105904,116212,105999,104829,110191,106729,79858,88288,91697,101670,113888,93494,93922,102210,95778,86341,110994,105534,83176,106128,99988,102827,95763,99421,110378,107713,129140,113811,111299,106241,101093,103832,94503,118583,93441,102741,102190,101051,101510,103772,99380,80905,96909,103402,104738,110886,106167,108714,90637,100168,97678,95649,90225,116142,95067,102893,90069
6,97119,113339,113962,118487,106426,97148,108014,110070,105923,90236,97301,91555,78438,91558,106503,106123,92824,97388,102852,102546,96819,92141,84128,99879,89249,102472,97690,85215,81575,121592,113717,90389,107565,106701,89775,108366,108735,119037,99725,111889,96546,128779,106796,92142,118935,86445,108498,83478,98816,105704,101259,89269,105963,87123,95276,112773,88434,102119,95111,109518,97366,89257,99078,93101,80888,105471,89304,98367,102385,84144,99265,95390,100751,119618,78223,94654,107485,115576,91611,86174,99873,92130,86634,85196,104530,106350,100766,97700,116832,89750,104479,98575,112236,115590,88131,104688,99654,105985,73952,94645,99876,99022,105877,104449,81272,101528,77354,101351,101382,105858,90133,115058,106544,99327,110723,108274,85476,90863,108398,99426,106880,100424,99462,115871,93656,88327,126413,111535,82265,93095,92008,108955,109231,90091,98999,107127,92405,105940,100084,106926,104069,90707,99344,107409,113090,83970,102454,106664,91781,95207,102313,92641,110359,97479,99129,114780,94300,83068,100752,103027,97867,114361,85866,94604,93478,120594,105677,104036,77881,108849,87726,96167,99971,113205,104983,98729,106037,99565,99750,107097,95384,118828,100275,96350,90285,102879,104141,89850,107655,95908,88633,92676,83513,105608,108668,102091,115589,96170,112612,102192,103069,89083,100543,94055,100947,87599,109140,80429,102229,102132,104842,95472,92487,99245,105262,101879,101006,103172,109019,100188,79145,98786,108329,93865,95003,101788,112167,98658,107896,106662,104030,109088,94808,93038,100833,102883,89845,112753,91880,93004,116060,103907,103431,102411,110323,121996,103926,114574,106547,93471,92876,98746,90893,95488,90240,86313,114076,96331,99806,77919,101024,80283,112570,139722,101261,113505,106486,106441,105318,98606,91762,91580,90886,100926,117016,100826,94680,95433,96298,106676,93056,82302,100903,106094,109113,114299,96553,103359,85874,101121,113512,93517,112365,102503,80862,93593,107513,98015,98053,102174
7,107464,88855,102803,110885,99437,91099,101777,118490,101919,105588,93635,112836,100348,111579,105644,102574,96037,98299,116847,107889,106297,80683,87404,99497,89583,108014,106513,90278,112089,97005,98325,97061,101435,93969,91702,97706,94317,102612,95835,98846,84926,107414,98986,88256,80217,96563,85224,97227,102099,107173,100001,106033,113938,95763,103484,101192,93113,120854,111627,106112,88128,107930,109219,102069,115589,110676,108248,109624,96171,91149,116817,118300,94729,95769,105312,99954,105560,101684,91766,97141,113106,112766,92597,103538,99829,89417,100659,79691,107190,105264,100471,94486,112936,98765,104885,109112,108552,108314,119588,103760,106014,113035,117545,105272,111166,103505,112648,88457,103140,94374,100391,115747,107540,93402,105043,103005,91627,94896,103258,101271,107814,92065,113658,98037,119778,124952,107771,100264,126593,104896,103512,97531,101691,100352,98951,107944,104765,77649,93163,110818,108105,125378,106185,106984,113160,100133,105356,88604,114579,99565,108136,103813,111752,103502,98541,104998,81194,101169,97196,102255,100677,89492,99687,92955,108461,106498,84847,105970,103159,98212,91433,113105,100552,102729,102156,103704,88819,93720,100844,74926,116048,104777,91186,112715,88667,99206,114289,94599,107383,97837,91760,108388,92459,89831,84053,95496,99854,96060,107483,94644,101760,104357,113976,106080,113154,98179,99558,102051,98954,121030,95900,90335,97740,96269,107240,101944,96577,82879,86529,109767,96507,104877,95690,90863,97525,95576,110176,112850,121632,103171,94081,78624,120424,95509,111114,96963,90319,83356,99338,104367,98266,99696,100073,101971,94828,99865,100747,102647,94335,100180,89439,83577,107646,108487,106249,93020,107606,104405,100783,98236,112937,112197,77857,109095,99927,96220,95420,103479,88820,96335,112741,104474,87054,89300,88378,93095,93609,95074,129848,107200,104585,103262,90955,70640,100592,106369,88253,95848,97381,85300,99470,73163,102879,81234,90738,98780,90611,89134,88400,90506
8,107699,124211,112463,98141,90724,104966,80750,107288,99364,99520,103723,106319,100835,88120,110124,106952,117496,93228,96372,110700,88990,108084,110441,99426,83126,112022,103552,113267,92579,101794,93863,99803,96928,98825,109954,100584,113565,113682,97121,92399,87360,110405,112605,89282,99756,107532,105768,95680,113245,88046,89565,103892,106054,96449,110215,100174,127275,106940,94079,95619,99389,100936,106662,102491,98766,116199,98424,98073,104768,109899,97456,114417,102841,95063,101318,84583,93133,106235,97392,98558,110711,79301,96895,76552,102723,97952,111929,106374,115969,100011,106519,106929,96478,80192,108379,101805,105914,106060,101153,108656,108755,97917,95619,99914,92368,110385,111353,92466,91957,88529,111905,95349,110562,105503,103308,93407,99248,106492,91702,99496,99548,99173,86581,102032,86590,86594,89502,107998,114683,79625,100633,100621,97482,110006,113358,88670,88943,117540,100929,110680,104187,91180,100167,101237,125419,113368,93128,105284,108646,96504,106606,80221,89821,83103,114812,106936,90344,96597,85597,94552,117846,106373,104975,102925,107740,108195,90903,105661,92747,115376,90025,116680,93292,106252,87034,92435,103963,95080,120911,74262,94266,113086,113251,90081,98535,111064,102100,93950,112448,103299,126877,100003,103284,104984,104118,86141,110828,110209,95336,96987,96252,105132,84225,112591,92137,99712,85212,90450,99605,113824,92182,99043,96500,107816,100401,92428,85692,106722,107859,87721,88711,115406,92515,114523,112222,102465,104070,113079,93062,93464,93921,98906,106607,88306,96038,109873,106251,103386,119716,93337,119421,105826,93728,109350,116620,103557,90429,107856,98630,111844,97429,107414,85918,94637,112819,107843,108360,107031,88300,96013,76938,123883,87276,108975,92226,103782,96820,93634,107016,98284,116511,101042,98284,120232,92484,99109,95714,104085,125077,109672,103692,94131,93712,100441,101381,101637,116536,105699,87966,99062,100661,99652,98239,114360,104641,101518,105573,102535,97520,105392
9,113979,106241,93296,95493,110049,102024,102076,100300,82958,101747,106800,105059,98110,104392,93978,101086,93653,108745,85857,107886,81373,105763,92832,100507,107421,111525,84620,99390,90296,105655,94436,112021,103648,102576,115253,114411,109922,118927,94999,90123,113791,91783,91615,107440,90953,101065,95166,100294,87356,106220,109927,90579,91681,87776,90217,116654,102673,99902,101129,93150,102433,101871,81216,107448,98564,116620,89575,108502,91505,99249,110951,97136,106884,103541,100281,105430,73926,82004,97438,99870,90863,92738,93797,93558,83250,100608,88104,97320,83030,101363,112753,97277,101161,105281,84454,94903,118309,90719,92615,96382,80277,98449,110853,87256,119403,84775,83396,97441,110334,103913,96586,85947,90349,98537,88517,108976,89098,100943,100716,104030,107633,119239,107275,100754,102944,95234,89238,96359,100911,110660,93991,94838,101639,95740,106877,90812,84050,91897,90888,94682,102755,105182,93683,107080,107989,93671,114177,86308,106118,90310,93322,93249,89057,91311,118230,93396,115576,81449,113149,97195,107465,116393,115073,114509,81673,90527,89385,106299,95801,102879,110421,90595,89933,100483,98933,91935,108997,93254,99901,113183,102449,126277,88458,106241,96587,93550,86167,102256,93874,105469,95938,93033,116182,111664,93165,105021,89799,92581,107696,103784,85651,90973,88764,97069,80804,99522,108455,92751,89926,98339,97170,101882,98684,105410,102379,98676,78289,99120,91319,109399,87392,84086,104412,109487,93686,95662,101291,108657,104558,87054,94388,95105,107356,101156,97455,87927,92335,119279,102949,90673,106510,109697,113892,99310,96236,100413,94979,124598,99685,93485,83061,102658,91865,94015,99953,105287,103349,113186,88197,96558,109522,106304,114575,108145,103388,82665,100281,115806,85184,96522,106207,96536,85635,103509,99332,73183,117416,105983,107916,114476,82640,96892,110494,92561,95183,87405,107036,90873,103108,92998,105442,91937,91092,93315,103536,105260,105025,103958,103364,94806
