,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74
0,103286,107633,99546,96520,96766,99201,102807,91757,90021,93238,100708,101515,90939,108424,114670,91828,98598,111717,100113,80667,101418,109652,95885,100666,123816,119389,94331,93611,98054,85576,98628,113388,94825,94015,90092,92859,93738,98818,119504,95574,112351,96920,102207,105652,97633,97235,95821,104577,105569,84541,109490,87898,89440,96811,87436,97924,105203,107089,90824,112001,93539,100781,103366,109622,109289,84135,95491,115585,104026,115716,90734,93519,96076,100198,93435
1,95183,96040,90635,112706,107721,105171,88824,107068,95497,113851,113929,92974,83537,87869,94709,98519,109176,106083,107639,79974,105872,84403,100198,107781,97900,103240,106474,87705,95556,95304,96618,91957,89005,107355,99933,80961,98859,98826,94389,104079,87019,91586,96183,101092,85439,100358,99670,91159,103932,84317,115242,112772,86029,105990,101930,95690,101086,92762,106720,83100,114266,106344,102077,104231,112192,115728,94821,100269,80682,114338,104915,102878,93250,106446,94557
2,115858,99190,105643,101548,94193,101544,104400,97562,101304,101709,85863,113547,92787,77134,94001,114742,107604,111341,84892,109993,90066,111020,90165,92708,70858,101056,96992,107864,119187,94997,95180,116206,95895,87486,105478,106734,112218,110937,116742,95270,79838,106768,82035,99408,116394,100455,91106,103457,94031,112128,98834,108842,98352,115393,99283,110680,111205,96710,97988,89311,89503,106023,103208,112146,100372,116097,94878,106150,91059,89962,112713,101493,99520,106115,105340
3,83841,83913,85506,105267,106591,115179,90444,85720,105086,102067,103855,91774,97936,97973,103469,92077,105819,99112,93764,85511,103895,96780,99854,90446,101329,100613,95002,89969,94868,101478,93959,87634,102077,98556,103324,105508,104554,88794,103011,120715,97255,109532,88246,101670,80055,110220,105416,93167,99487,89701,89162,91202,108584,98460,101121,87242,107470,116057,107545,91880,73198,91202,105944,90807,84952,100030,90751,89857,84371,93306,102247,108482,109760,98634,91648
4,112065,99858,101056,104104,88109,102354,92399,99457,102037,109910,107925,89987,101697,112995,88831,115164,105868,96882,89606,99613,106112,117952,95741,92144,97925,98408,92145,108508,99045,118386,83400,105408,107781,101460,106826,86046,96222,117451,96614,78440,113813,112108,100784,93716,99976,94248,108888,110773,102229,102135,115960,93534,108591,88134,102354,100346,90407,77021,76086,118485,106915,111245,95399,107753,95597,98605,97070,97709,82205,102884,115010,101850,91419,89602,111756
5,78151,100754,97164,99715,112222,108403,86083,103530,98749,102704,105514,88837,95447,106765,97480,92956,90567,105767,124262,92888,90066,99880,95457,109518,103499,100338,96703,93921,91097,97376,104603,92788,87061,105651,108915,96253,103092,100028,96663,99369,107571,103709,99605,107954,88282,101885,104818,99432,98201,103330,105531,95076,116009,107120,102080,97478,89287,109627,96156,97796,101824,90590,113959,89139,117565,110145,93797,107806,101984,98456,120228,100484,91670,99265,110132
6,103390,109294,91574,103396,96166,81009,98185,103586,100032,100233,97444,98712,110209,89127,110212,91965,114530,107250,106663,106827,113391,116102,114285,89714,89938,106832,93390,103299,114423,103754,94793,92927,106981,89302,106234,109431,97104,108312,115216,84706,81406,95861,121085,110168,94681,101182,91215,106446,78956,104527,98725,111656,108375,107503,93133,95814,88625,88550,104325,75227,85611,99658,116704,98651,115073,106982,104728,107338,107947,89285,78478,101240,113595,96949,105113
7,104167,93397,72754,99994,85640,83032,89359,92757,87319,105338,93459,105675,105022,104603,106145,98643,108234,92850,92987,88092,81576,91479,96311,94100,93408,104582,97669,113315,103839,81282,101111,85728,104518,81425,103479,111561,99173,91269,114140,106450,113939,96538,113807,78841,95006,92141,110816,103773,84455,113046,111945,83687,110767,88527,106473,102380,94017,104360,101361,116895,112331,88809,109397,103747,92589,108573,87758,94885,103102,92380,99525,103645,100843,88174,105385
8,96090,92849,88667,103249,98059,92510,98889,83268,98934,96050,103075,85139,99951,106283,99193,97909,100725,97885,89679,95788,116468,93129,108079,81684,100731,97142,92703,105452,98214,86504,85517,98384,106120,98011,93949,95630,101623,84920,89085,90207,101898,89065,100614,90526,100509,102881,113633,103363,105693,93027,90532,104704,106165,108075,106513,82256,100478,90978,98858,103205,90985,109484,110759,90308,110053,89374,107317,112401,105298,110870,99364,114534,99037,92678,101895
9,94304,86808,93129,99557,102220,97575,104914,106228,103630,89453,106394,100260,118903,103892,86428,106827,87254,111411,97853,119197,105226,124773,112943,115889,89154,109411,123708,100165,108020,90980,111953,106597,106236,98072,89445,96980,86616,75395,96756,106390,93724,112379,107831,122275,96154,113676,95930,71637,90541,102079,99599,98196,85140,111215,97909,81267,90201,79791,96215,102266,109845,93820,128929,113007,97913,114085,108847,96763,84692,104527,73251,107674,94086,96235,103369
10,111228,107285,76235,94701,99004,104751,102085,91792,107738,112389,100593,95751,106639,115346,90128,91296,116823,104758,79553,122660,112557,107705,96908,99570,90045,90427,93887,118821,103592,101105,100387,106860,94286,121671,86032,113461,103299,96140,88904,95621,105343,101102,106100,101085,106651,93940,104582,91888,90575,99764,116691,84214,103391,97002,107835,96717,123017,94664,117145,99436,93999,117544,97960,102986,83189,100437,101604,109016,90168,89346,97888,98565,94148,86995,95739
